"","BBB-WBO-B21","BBB-WBV-B70","BBO-BBO-B16","BBO-BBY-B27","BBO-WBO-B16","BBO-WBV-B64","BBR-BBB-B50","BBR-BBG-B38","BBR-BBY-B26","BBY-WBG-B42","BPO-BPO-O16","BPR-BPG-O38","BPR-BPR-O02","BPY-BPG-O42","BPY-BPY-O29","WBB-WBV-W69","WBG-BBB-W56","WBG-WBG-W44","WBO-BBR-W03","WBO-WBV-W64","WBR-BBY-W25","WBV-WBO-W23","WBV-WBR-W12","WBY-BBV-W65","WBY-BBY-W30","WPB-BPG-G45","WPO-BPO-G16","WPO-BPY-G28","WPR-BPY-G25","WPV-BPR-G11"
"LOC111103401",13,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0
"LOC111103364",2,4,6,3,3,5,2,13,3,0,0,1,0,1,0,1,5,1,0,1,0,1,0,4,6,0,1,0,0,0
"LOC111099041",2,4,5,5,6,2,1,7,6,1,0,5,0,0,1,2,0,0,0,1,0,1,0,1,3,1,3,0,1,0
"LOC111127424",0,35,3,0,38,1,13,27,2,0,2,8,1,0,5,0,26,1,0,1,7,0,1,3,0,7,0,0,2,0
"LOC111127416",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1,0,3,0,0,0,1,0,0,1,0,3,0
"LOC111137796",48,16,40,33,76,45,22,42,56,24,1,59,2,3,10,53,46,14,5,25,2,17,7,34,34,18,39,3,10,1
"LOC111137514",2,0,0,2,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
"LOC111105370",2,0,0,0,0,13,0,0,1,5,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0
"LOC111105035",57,26,40,19,43,15,18,30,39,13,2,23,1,4,9,34,17,8,1,24,4,4,2,20,12,17,4,4,23,1
"LOC111131375",5,5,23,2,12,8,11,25,11,5,6,1,1,0,3,25,10,0,0,11,0,4,0,9,1,15,12,0,4,0
"LOC111134598",0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,1,0,0,0,3,0,0,0,0,1,0
"LOC111135077",1,0,0,0,2,1,1,0,0,0,0,1,0,0,0,3,0,0,0,2,0,0,0,3,1,0,0,0,0,0
"LOC111125571",14,83,54,12,90,53,26,44,31,5,5,28,5,1,18,54,55,10,2,50,4,23,2,71,29,22,16,28,31,0
"LOC111125589",50,75,56,24,106,41,19,34,32,13,3,22,4,0,13,31,20,8,3,14,23,13,1,26,21,24,19,1,34,1
"LOC111099659",8,7,15,1,5,7,5,5,5,4,2,6,1,0,3,7,17,1,0,19,1,6,0,19,6,22,8,0,3,0
"LOC111128222",87,181,45,120,144,672,40,44,157,44,13,17,19,3,9,53,77,31,8,65,13,55,3,208,62,38,18,47,66,5
"LOC111128188",4,7,30,8,18,5,8,23,28,1,7,22,3,4,9,6,66,3,2,7,0,4,0,11,21,15,8,0,1,0
"LOC111128242",7,4,1,0,7,10,0,3,14,3,2,4,0,0,3,0,1,0,0,5,1,0,0,0,4,5,6,0,2,0
