GeneID	Length	X2018..BBB.WBO.B21.CV_sorted.bam	X2018..BBB.WBV.B70.CV_sorted.bam	X2018..BBO.BBO.B16.CV_sorted.bam	X2018..BBO.BBY.B27.CV_sorted.bam	X2018..BBO.WBO.B16.CV_sorted.bam	X2018..BBO.WBV.B64.CV_sorted.bam	X2018..BBR.BBB.B50.CV_sorted.bam	X2018..BBR.BBG.B38.CV_sorted.bam	X2018..BBR.BBY.B26.CV_sorted.bam	X2018..BBY.WBG.B42.CV_sorted.bam	X2018..BPO.BPO.O16.CV_sorted.bam	X2018..BPR.BPG.O38.CV_sorted.bam	X2018..BPR.BPR.O02.CV_sorted.bam	X2018..BPY.BPG.O42.CV_sorted.bam	X2018..BPY.BPY.O29.CV_sorted.bam	X2018..WBB.WBV.W69.CV_sorted.bam	X2018..WBG.BBB.W56.CV_sorted.bam	X2018..WBG.WBG.W44.CV_sorted.bam	X2018..WBO.BBR.W03.CV_sorted.bam	X2018..WBO.WBV.W64.CV_sorted.bam	X2018..WBR.BBY.W25.CV_sorted.bam	X2018..WBV.WBO.W23.CV_sorted.bam	X2018..WBV.WBR.W12.CV_sorted.bam	X2018..WBY.BBV.W65.CV_sorted.bam	X2018..WBY.BBY.W30.CV_sorted.bam	X2018..WPB.BPG.G45.CV_sorted.bam	X2018..WPO.BPO.G16.CV_sorted.bam	X2018..WPO.BPY.G28.CV_sorted.bam	X2018..WPR.BPY.G25.CV_sorted.bam	X2018..WPV.BPR.G11.CV_sorted.bam
LOC111103592	1654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
LOC111129108	459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111129120	6599	0	0	0	0	0	0	0	0	0	0	0	9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111135210	10698	0	3	0	0	3	0	1	1	1	0	0	0	1	0	1	4	1	0	0	1	2	1	0	0	0	0	1	0	1	0
LOC111113958	4852	0	1	1	3	2	3	0	4	1	0	0	0	0	0	0	5	2	0	0	8	0	0	0	0	1	2	0	0	0	0
LOC111103230	20793	7	3	3	7	30	14	2	6	5	2	0	0	0	1	3	23	2	0	1	3	3	3	2	3	6	1	2	0	12	0
LOC111101640	15141	1	3	1	7	12	6	0	5	1	0	0	0	1	0	0	4	1	0	0	2	2	1	0	0	3	0	2	0	3	0
LOC111103171	13215	0	2	0	1	3	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0
LOC111103163	2527	0	0	4	1	0	0	1	0	0	1	1	3	1	0	1	2	0	1	0	1	0	5	1	1	0	0	1	0	0	0
LOC111103177	1951	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	1	0	0	1	0
LOC111115024	1258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111115591	6857	18	1	0	0	1	0	0	1	1	0	0	0	0	0	0	3	2	1	0	1	0	0	0	0	0	0	0	0	0	0
LOC111119406	3528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111102439	3178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111102448	7964	237	240	128	142	266	240	91	214	166	46	15	122	17	8	27	119	164	30	8	149	55	57	11	122	83	82	43	7	161	4
LOC111129274	5731	0	1	2	1	2	3	2	1	1	0	0	2	0	0	0	4	2	0	0	6	0	1	0	0	1	0	1	0	1	0
LOC111113346	7812	90	153	145	77	115	129	58	78	97	22	20	93	19	6	31	131	156	27	2	101	40	34	11	98	34	56	30	2	43	3
LOC111100652	11500	288	132	114	68	263	204	35	82	72	24	6	82	13	9	14	118	105	28	10	72	38	45	16	48	28	43	16	38	92	0
LOC111134791	12349	363	497	355	253	696	476	178	302	420	91	44	262	57	28	70	500	333	61	32	377	118	128	48	272	184	164	96	130	252	6
LOC111128971	25543	208	142	162	114	258	216	85	124	148	67	10	99	17	13	45	190	144	36	12	201	61	51	12	170	114	110	48	4	68	1
LOC111104153	10331	38	18	87	61	38	103	33	63	80	10	9	49	8	2	7	58	55	9	2	38	13	4	6	59	27	11	8	1	29	1
LOC111134573	2121	0	3	3	0	1	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111129318	864	3	1	17	0	1	106	0	0	8	1	0	7	2	0	1	0	2	7	0	1	0	0	0	0	1	0	1	0	14	1
LOC111134552	5654	1	0	8	0	0	0	1	1	1	0	0	8	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	10	0
LOC111134566	12177	2	0	36	0	1	2	3	4	1	3	0	44	0	0	1	4	3	9	0	1	0	2	0	1	1	1	1	1	46	0
LOC111121766	2267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	2	0	0	0	0
LOC111121733	18652	173	165	185	104	192	166	81	150	118	44	17	101	22	11	53	114	187	77	11	106	32	61	14	150	95	53	28	50	91	89
LOC111129336	3731	2	1	8	2	2	7	0	2	4	0	0	4	0	0	0	7	2	0	0	1	0	0	0	0	1	1	3	0	2	0
LOC111109736	3039	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111109754	67342	70	61	46	52	75	85	32	51	52	19	1	31	1	2	4	42	41	16	5	48	8	14	7	21	20	18	24	4	45	2
LOC111109763	5581	1	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
LOC111129344	979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111109745	28065	3	7	4	0	4	6	4	3	3	2	0	1	0	1	0	10	2	1	0	5	3	2	0	3	3	2	2	0	7	0
LOC111132141	14351	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LOC111129349	7966	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
LOC111132148	5164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111132134	17741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111132126	28890	0	0	1	0	4	0	0	3	0	0	0	0	0	0	0	5	6	0	0	1	0	0	1	0	0	6	6	0	5	0
LOC111099207	10658	13	26	15	9	16	13	4	12	8	0	0	8	1	0	2	17	12	0	1	8	0	1	1	10	4	6	1	0	4	0
LOC111115013	15580	16	21	8	4	23	17	2	8	4	2	2	2	0	0	2	18	4	1	1	7	8	2	0	7	5	3	1	1	8	0
LOC111132349	11332	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111129373	3008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111132366	9246	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
LOC111103463	1956	2	1	0	0	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	14	0	0	2	0
LOC111131773	2361	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111131721	15203	178	122	92	48	152	123	56	63	88	24	16	54	23	11	29	113	89	36	3	57	27	14	12	93	57	78	38	1	65	1
LOC111131752	14246	15	11	14	24	13	8	14	26	11	4	2	8	3	2	10	14	38	4	0	10	4	9	3	38	13	25	15	2	10	1
LOC111131766	7665	12	12	22	15	8	3	7	38	11	1	5	13	4	1	11	5	26	5	1	6	1	8	3	17	4	13	4	1	8	1
LOC111129378	5918	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0
LOC111131682	28984	646	461	302	259	498	497	160	326	291	120	49	214	41	36	55	349	368	55	26	292	104	119	31	313	197	139	91	79	201	49
LOC111128103	45379	765	686	541	389	917	761	300	679	457	140	82	341	97	70	150	756	624	127	47	543	232	173	72	399	262	290	168	165	370	111
LOC111100789	7817	5	4	1	0	0	3	0	7	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	2	0	0	0	0
LOC111100985	8344	92	1	0	0	0	2	2	5	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
LOC111103238	13935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111103245	1431	0	0	0	0	0	0	1	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0
LOC111112387	10762	432	316	245	137	324	271	145	296	274	59	29	124	24	15	53	215	387	49	28	152	77	77	14	158	149	118	41	126	158	5
LOC111114799	5639	78	31	24	17	24	37	15	34	31	17	8	18	4	0	4	27	35	4	6	27	10	11	9	22	25	20	3	0	47	3
LOC111129421	20796	66	29	26	24	43	51	6	48	22	9	3	37	1	0	1	22	18	3	4	29	2	14	3	36	18	11	10	0	24	0
LOC111129446	27775	309	127	183	113	232	185	96	240	190	45	16	161	29	11	59	207	237	52	14	162	51	81	18	249	131	117	77	35	82	2
LOC111100566	18648	100	146	76	74	152	136	49	123	78	29	9	85	7	4	19	97	127	15	6	64	37	32	16	70	52	51	31	2	44	2
LOC111136882	4261	20	60	130	66	37	113	56	78	102	21	7	80	5	2	13	94	117	38	3	68	46	29	13	66	98	55	36	3	15	6
LOC111136873	3391	89	10	78	51	157	14	15	76	40	15	8	42	1	2	9	56	117	18	4	91	4	27	3	72	23	17	8	5	35	3
LOC111099831	2231	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111129522	9300	0	0	2	0	1	0	0	0	0	0	0	0	1	0	4	0	0	0	0	17	0	0	0	1	0	1	0	0	0	0
LOC111100662	12258	3	8	1	0	3	1	6	0	0	1	2	1	13	7	33	163	0	1	5	2	2	0	0	0	0	0	11	1	0	1
LOC111100672	6244	1	3	2	0	3	1	0	0	0	0	1	0	6	4	16	212	0	0	9	5	0	0	0	3	0	0	15	0	0	0
LOC111123745	6884	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111129531	795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111105302	5223	13	7	6	3	13	16	3	7	1	5	4	5	1	1	0	9	4	4	0	12	2	2	0	9	4	5	3	0	2	0
LOC111122009	1611	2	17	18	27	19	24	2	4	46	7	0	15	1	0	0	8	14	9	0	5	3	0	3	0	18	8	0	1	7	1
LOC111137770	4753	12	19	2	2	11	5	4	4	4	1	3	2	0	1	1	19	8	2	2	11	2	4	2	6	1	8	11	38	5	0
Trnag-gcc	71	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LOC111119645	3263	1	17	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111134776	9270	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0
LOC111103288	3125	41	13	18	26	23	40	16	23	23	9	3	20	4	4	10	29	43	4	10	44	16	11	1	29	22	16	4	39	9	1
