"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","plot","more_me_in"
"LOC111136678",25.8608642973399,-0.434141269940924,0.370011569905646,-0.497663546001767,0.618721206174214,1,"hypoxic_vs_control","not significant"
"LOC111137934",7.27663733583863,-0.365738095290958,0.254754446844101,-0.45431236519999,0.649604017437283,1,"hypoxic_vs_control","not significant"
"LOC111133757",0.654353984947186,0.114316290972294,0.729352080654398,0,1,1,"hypoxic_vs_control","not significant"
"LOC111135201",11.9450770012679,0.314195917446087,0.33907536631611,0.189326397088485,0.849837007555697,1,"hypoxic_vs_control","not significant"
"LOC111135202",1.66525235067178,0.429589457503318,0.453954481864287,0.395611156355996,0.692391905618569,1,"hypoxic_vs_control","not significant"
"LOC111134688",23.5515911943569,0.171726954159425,0.190130155306511,0,1,1,"hypoxic_vs_control","not significant"
"LOC111132863",9.12681145034224,-0.363857179132111,0.723152126120043,-0.157445681233068,NA,NA,"hypoxic_vs_control",NA
"LOC111135041",2.1149217693398,0.254165460976632,0.574175635085645,0.00725468083648348,0.994211652940893,1,"hypoxic_vs_control","not significant"
"LOC111135044",61.9099941863364,1.05085261117756,0.566055909792092,1.41479418785984,NA,NA,"hypoxic_vs_control",NA
"LOC111135039",58.4354317290256,0.253558832225278,0.418011386536936,0.00851372077387993,NA,NA,"hypoxic_vs_control",NA
"LOC111135040",4.80931699426367,0.164522534091306,0.366288673281137,0,1,1,"hypoxic_vs_control","not significant"
"LOC111137265",10.2736581129638,-0.268105063794957,0.446880137516473,-0.0405143622976293,0.967683056985077,1,"hypoxic_vs_control","not significant"
"LOC111133329",1.75139503511756,0.574589113592972,0.688457665464843,0.471472873170511,0.637303086892526,1,"hypoxic_vs_control","not significant"
"LOC111134304",17.1979060882077,0.128388429813104,0.219791254548607,0,1,1,"hypoxic_vs_control","not significant"
"LOC111137308",8.40724231054942,0.085588036299183,0.356695562365369,0,1,1,"hypoxic_vs_control","not significant"
