Symbol,log2fc
LOC111111244,-0.24882725300902
LOC111130860,0.529120782819148
LOC111111488,0.165376968773576
LOC111130870,-0.46714918942033
LOC111129292,-0.0995569465907103
LOC111110900,NA
LOC111110891,NA
LOC111110884,NA
LOC111123767,0.0392013350985817
LOC111127104,0.148744746936218
LOC111100578,0.218331392679597
LOC111104267,0.0413068662329741
LOC111119653,-0.256183929627436
LOC111130876,0.0903503771570265
LOC111101103,-0.00857593059518912
LOC111120458,0.0394577503144798
LOC111120718,NA
LOC111111001,0.0107641346286385
LOC111100468,0.021301956477868
LOC111114510,NA
LOC111104056,0
LOC111111403,0.0738824885575938
LOC111130886,-0.559626118621875
LOC111099410,-0.0895204587076759
LOC111109848,NA
LOC111109839,0.0231395917049874
LOC111109321,NA
LOC111113745,NA
LOC111134162,-0.00857593059518913
LOC111120605,NA
LOC111109628,-0.109056117475004
LOC111103508,0
LOC111137420,0.172549227867793
LOC111137407,0.347919417226848
LOC111111015,-0.41874231550561
LOC111100511,1.35752236294708
LOC111111357,NA
LOC111101857,-0.753589576387433
LOC111114229,-0.467668104659843
LOC111130894,-0.0350521481152106
LOC111129231,-0.101134082075526
LOC111129268,NA
LOC111129259,-0.034281479119518
LOC111119081,-0.0672466404200145
LOC111123731,0
LOC111130903,0.422706996940244
LOC111102556,0.165608704885828
LOC111123911,NA
LOC111120179,0.0121722261853627
LOC111100957,-0.360154994990815
LOC111118371,-0.0195252488599728
LOC111130919,NA
LOC111130926,-0.689890028085964
LOC111130935,0.21459314876365
LOC111115104,NA
LOC111100011,-0.152171403866496
LOC111100027,0.0534254432650567
LOC111114533,NA
LOC111114772,NA
LOC111109516,0.0373636998714624
LOC111127903,NA
LOC111128030,0.0475622147758242
LOC111127982,NA
LOC111130942,NA
LOC111120471,NA
LOC111105410,NA
LOC111122025,0.0228597923863382
LOC111119534,0.0429037953030504
LOC111105859,NA
LOC111135084,0.567070284327118
LOC111123961,-0.0819878519846338
LOC111123977,NA
LOC111123914,0.244784946007407
LOC111123991,NA
LOC111123981,NA
LOC111123943,0
LOC111123967,NA
LOC111123984,NA
LOC111123922,-0.0650083301579545
LOC111101216,-0.185817649300634
LOC111108835,0.00258720411093434
LOC111109398,-0.137671640864187
LOC111109472,0.00139405859626123
LOC111100372,-0.0386929302866424
LOC111137060,0.180788608263008
LOC111137068,0.03387488977805
LOC111134266,-0.0576519274273325
LOC111114134,-0.00857593059518914
LOC111112803,-0.120907876710054
LOC111132223,0.0469557941489727
LOC111132259,NA
LOC111132242,-0.0199176268718979
LOC111132201,NA
LOC111132269,NA
LOC111132215,0.380808672258304
LOC111132290,NA
LOC111138481,0.0231395917049874
LOC111138488,0.0858274658209433
LOC111137818,-0.0214854346790778
LOC111126382,0.321076695640189
LOC111126441,NA
LOC111126395,0.627608828958108
LOC111126874,0.0262305773312327
LOC111138441,-0.0252088688458631
LOC111138463,NA
LOC111114945,NA
LOC111114939,NA
LOC111137650,NA
LOC111137660,NA
LOC111137635,1.25545166825422
LOC111137607,NA
LOC111137668,NA
LOC111137629,0.0235475561919994
LOC111137619,-0.0323431430459226
LOC111114550,-0.905465117481827
LOC111110435,-0.286959136510894
LOC111101089,0.283428734118496
LOC111130981,0.0444224192897103
LOC111130991,-0.00857593059518913
LOC111111447,NA
LOC111112548,NA
LOC111130999,0.00266865322989161
LOC111135918,-0.0244539698586806
LOC111132155,1.10630525757177
LOC111132171,0.0235475561919994
LOC111115278,-0.0178814476558617
LOC111120647,NA
LOC111120635,0.0235475561919994
LOC111114449,NA
LOC111109466,NA
LOC111109473,0.167645796940323
LOC111109490,NA
LOC111113921,NA
LOC111131018,NA
LOC111129414,NA
LOC111103274,NA
LOC111118051,NA
LOC111101512,0
LOC111101521,NA
LOC111128818,-0.0666793324915626
LOC111128808,NA
LOC111100849,NA
LOC111118190,0.0235475561919994
LOC111108767,-0.37857834126904
LOC111131814,-0.312780300083817
LOC111130762,0.393893077600912
LOC111114063,NA
LOC111109437,0.055868427848469
LOC111127446,-0.326963979428126
LOC111127467,NA
LOC111102092,-0.298681390871488
LOC111115194,-0.15399408392678
LOC111121700,NA
LOC111131027,NA
LOC111123006,0.334668180428612
LOC111110864,0.0260121711334288
LOC111105495,-0.0498435195178176
Trnat-agu,NA
Trnak-cuu,NA
Trnat-agu_1,NA
Trnat-agu_2,NA
LOC111105572,0.0123040174006554
LOC111113650,NA
LOC111122554,0.00689697568080805
LOC111110198,0
LOC111110207,NA
LOC111099502,0.769050622220895
LOC111131034,NA
LOC111105709,-0.263108228455836
LOC111101208,-0.0245041084921619
LOC111120785,NA
LOC111104777,NA
LOC111105835,0.781114406614405
LOC111101449,0.115036269453502
LOC111101471,0.0392013350985817
LOC111125391,0.415400692789926
LOC111125430,NA
LOC111125435,NA
LOC111118239,-0.00887752540923743
LOC111118305,-0.00916476771278623
LOC111118299,NA
LOC111118289,NA
LOC111135155,-0.124099020309926
LOC111104770,-0.499282224708825
LOC111138286,-0.583860500390708
LOC111115832,-0.185796204132815
LOC111125536,-0.276838485335617
LOC111099029,-0.00144377439412446
LOC111115167,-0.445489165078378
LOC111136592,0.58633845496162
LOC111112051,NA
LOC111105211,NA
LOC111105919,-0.0890763562022646
LOC111114604,-0.332559923251422
LOC111120595,0.220243921509391
LOC111120599,NA
LOC111108095,0.780160348758282
LOC111122680,0.0392013350985817
LOC111107343,0.754384228395852
LOC111102428,0.0351110066780688
LOC111102429,NA
LOC111137979,NA
LOC111122131,-0.246017789067303
LOC111108952,NA
LOC111108825,NA
LOC111120824,-0.0511268847364322
LOC111100895,NA
LOC111100900,0.284529981834973
LOC111109095,-0.0306413825753632
LOC111137279,NA
LOC111115098,NA
LOC111121823,0.0235475561919994
LOC111110877,NA
LOC111119627,-0.00696200883491081
