"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","more_me_in","phase_effect"
"LOC111122186",0.528623440905938,0.230458214485987,0.239292395385243,0,1,NA,NA,"phase2"
"LOC111122185",7.55712726302464,0.132045240806873,0.285487130084401,0,1,1,"not significant","phase2"
"LOC111122184",19.6188325028368,-0.206141134639031,0.212736300777998,0,1,1,"not significant","phase2"
"LOC111118550",1.038951477343,0.202980987792004,0.279574245505427,0,1,1,"not significant","phase2"
"LOC111121989",29.6044111803248,-0.153041251653514,0.176595727781273,0,1,1,"not significant","phase2"
"LOC111122395",8.52789980320132,-0.255571583506496,0.269527339472953,-0.0206716822025953,0.983507558520498,1,"not significant","phase2"
"LOC111118342",1.19414385272446,0.217391004207007,0.276793894295828,0,1,1,"not significant","phase2"
"LOC111121849",25.3141287625449,-0.112735139825476,0.169366306237696,0,1,1,"not significant","phase2"
"LOC111119194",38.1270827741456,0.0339074854890344,0.164442312344872,0,1,1,"not significant","phase2"
"LOC111119136",1.34816821683313,0.153007273701527,0.159914496172661,0,1,1,"not significant","phase2"
"LOC111119776",51.3640731023647,0.330283481978744,0.157332537226863,0.510278950519822,0.609856047494943,1,"not significant","phase2"
"LOC111121317",5.09445423167939,0.327002984468941,0.277351437612299,0.277636867981846,0.781291127773468,1,"not significant","phase2"
"LOC111120145",2.24318455258512,0.297566949827629,0.271017649170342,0.175512369667601,0.860677052051517,1,"not significant","phase2"
"LOC111121166",4.63817898844752,0.751467568761356,0.284157080485244,1.76475478951649,0.0776049859573847,1,"not significant","phase2"
"LOC111121498",16.6271316224142,-0.175487816715015,0.196762223981614,0,1,1,"not significant","phase2"
"LOC111120068",10.7227691274811,-0.325897301316292,0.211290523156592,-0.359208260656553,0.719439297363647,1,"not significant","phase2"
"LOC111120070",10.4271130507722,-0.373427419382678,0.237042584714611,-0.520697238984627,0.602577698087955,1,"not significant","phase2"
"LOC111120069",3.55906159654021,-0.313308485720911,0.258528645268216,-0.244879965449207,0.806549374737398,1,"not significant","phase2"
"LOC111120072",1.98085074095616,0.0623220299949615,0.276597517455147,0,1,1,"not significant","phase2"
"LOC111120008",2.04552424394866,0.311573779901558,0.225653313376867,0.272868937664225,0.784953964857532,1,"not significant","phase2"
"LOC111122063",0.531584447990003,-0.107079777212537,0.183126339105621,0,1,NA,NA,"phase2"
"LOC111118270",26.5224405330321,-0.247913050964059,0.16782227230261,0,1,1,"not significant","phase2"
"LOC111120680",32.6264452124175,-0.504019690521962,0.168902865905045,-1.50393949303838,0.132596946995395,1,"not significant","phase2"
"LOC111122140",0.358700684127584,-0.221086473989617,0.236351142364587,0,1,NA,NA,"phase2"
"LOC111119644",17.1971640212912,0.0659275590110619,0.177712712685092,0,1,1,"not significant","phase2"
"LOC111120593",28.2739977863603,0.278548697769809,0.206031582588772,0.138564667664524,0.889794165024795,1,"not significant","phase2"
"LOC111118240",0.474215375418813,0.176402992491125,0.184183000374905,0,1,NA,NA,"phase2"
"LOC111121613",0.324347999618313,0.019858719928545,0.177899229739091,0,1,NA,NA,"phase2"
"LOC111120769",9.73851772834457,-0.566148830553028,0.24866996136903,-1.27135914934196,0.203600908468136,1,"not significant","phase2"
"LOC111119357",7.79211386336644,-0.169837013617834,0.285098396642589,0,1,1,"not significant","phase2"
"LOC111119207",37.4721786325151,0.0593605525037339,0.174140126804364,0,1,1,"not significant","phase2"
"LOC111119980",38.9312697878536,0.17767083142659,0.159162111104855,0,1,1,"not significant","phase2"
"LOC111121410",6.07021207773033,0.342336652900217,0.261722320257639,0.352803890815737,0.724235466664528,1,"not significant","phase2"
"LOC111120154",50.9590958115264,0.190486311869185,0.284606886887512,0,1,1,"not significant","phase2"
"LOC111120155",6.13167670781721,-0.292905436125294,0.283493317520551,-0.151345493786406,0.879703183717407,1,"not significant","phase2"
"LOC111119318",5.02704934778883,0.448163093076545,0.283872905917147,0.69806976624385,0.485133564606613,1,"not significant","phase2"
"LOC111119315",21.8252813169024,-0.387874813061711,0.179080061496153,-0.769905995730701,0.441355657049839,1,"not significant","phase2"
"LOC111120727",18.2926065936036,-0.644530482988957,0.221786254200776,-1.77887707428343,0.0752599174722452,1,"not significant","phase2"
"LOC111120730",15.3277433884219,-0.325416276805551,0.229735970744765,-0.328273698546485,0.742704728798909,1,"not significant","phase2"
"LOC111120728",5.32656631176139,-0.572397017127556,0.265776131040186,-1.2130397709748,0.225114615314169,1,"not significant","phase2"
"LOC111120731",2.51231685566667,0.216745283771928,0.285502585999028,0,1,1,"not significant","phase2"
"LOC111120732",1.01298608092231,-0.344122363878565,0.240131467877013,-0.391961806216796,0.695086434534405,1,"not significant","phase2"
"LOC111119769",1.77706170385675,0.10607071379973,0.185737199281178,0,1,1,"not significant","phase2"
"LOC111122084",1.05338063445287,0.001218119045416,0.193476198921765,0,1,1,"not significant","phase2"
"LOC111118100",25.5461956539347,-0.274363928987414,0.184789621285722,-0.131846847338588,0.895105431150489,1,"not significant","phase2"
"LOC111120693",41.1750239116398,-0.50101092853991,0.156732107490109,-1.60152844595516,0.109259924794718,1,"not significant","phase2"
"LOC111120692",19.5340470222489,-0.228022551808253,0.200579010263484,0,1,1,"not significant","phase2"
"LOC111120787",0.491335020277695,0.131916503773515,0.14425266592678,0,1,NA,NA,"phase2"
"LOC111120910",3.39392932928458,-0.0950871530396813,0.253901341632986,0,1,1,"not significant","phase2"
"LOC111120657",32.6292158314213,0.403873751481301,0.174024746331985,0.884206153001698,0.376584937443604,1,"not significant","phase2"
"LOC111120864",1.22702258791078,0.0695920857935755,0.200430168975084,0,1,1,"not significant","phase2"
"LOC111118082",9.66177828862004,-0.142054945462502,0.282199060390756,0,1,1,"not significant","phase2"
"LOC111118467",4.56495322636098,0.148879681792929,0.283966869843629,0,1,1,"not significant","phase2"
"LOC111118463",0.314334493813036,-0.0293624324813749,0.194872437928595,0,1,NA,NA,"phase2"
"LOC111118676",2.32729124517359,-0.480283470014598,0.271227037649029,-0.84904319278297,0.395857258429549,1,"not significant","phase2"
"LOC111120158",24.3022805271294,0.803773512694908,0.203916761841351,2.7156841237296,0.00661389880519228,0.47240994088483,"not significant","phase2"
"LOC111119700",7.84158853334019,-0.49272206740346,0.24271143271605,-1.00004381617829,0.317289303862648,1,"not significant","phase2"
"LOC111120159",42.968474802986,0.306271942786616,0.231604025471781,0.242966168968733,0.808031605504142,1,"not significant","phase2"
"LOC111119815",18.6601234087131,-0.570572363330352,0.259585103430615,-1.23494129321654,0.216852353850285,1,"not significant","phase2"
