"","gene","logFC","pval","padj"
"37686","LOC111137274",-1.2212470369481,0.718701416592883,NA
"37687","LOC111137275",-0.377094013316452,0.473988808019083,0.829237647676158
"37688","LOC111137276",-0.592793418552897,0.814173526040783,NA
"37689","LOC111137277",0,1,NA
"37690","LOC111137278",NA,NA,NA
"37691","LOC111137279",NA,NA,NA
"37692","LOC111137280",0.601963976488181,0.615890436616561,NA
"37693","LOC111137281",NA,NA,NA
"37694","LOC111137282",0.862414168546638,0.846742790970638,NA
"37695","LOC111137283",NA,NA,NA
"37696","LOC111137284",NA,NA,NA
"37697","LOC111137285",2.20443086840521,0.237473392865907,NA
"37698","LOC111137286",NA,NA,NA
"37699","LOC111137287",-0.923877174241951,0.536847959309106,NA
"37700","LOC111137288",-0.985300491472647,0.211843270300846,0.600976733804923
"37701","LOC111137289",NA,NA,NA
"37702","LOC111137290",0.358566142440378,0.884270107567418,NA
"37703","LOC111137291",NA,NA,NA
"37704","LOC111137292",NA,NA,NA
"37705","LOC111137293",NA,NA,NA
"37706","LOC111137294",-0.341264908943845,0.321166762006485,0.720924182140054
"37707","LOC111137295",-2.6092329269367,0.0209640464523943,NA
"37708","LOC111137296",NA,NA,NA
"37709","LOC111137297",-0.749158179354702,0.422607586093606,NA
"37710","LOC111137298",1.0574351005542,0.0189957439504166,0.136165824370863
"37711","LOC111137299",0.525029325399247,0.87727392309155,NA
"37712","LOC111137300",0,1,NA
"37713","LOC111137301",-0.0650218322390683,0.983809951269085,NA
"37714","LOC111137302",0.608236514052294,0.868507316256527,NA
"37715","LOC111137303",2.34408120453677,0.563193544839161,NA
"37716","LOC111137304",NA,NA,NA
"37717","LOC111137305",NA,NA,NA
"37718","LOC111137306",NA,NA,NA
"37719","LOC111137307",-0.385601624889527,0.571914085239201,0.871002155894267
"37720","LOC111137308",0.949326789092509,0.831549040544116,NA
"37721","LOC111137309",0.894309265628222,0.841161218896787,NA
"37722","LOC111137310",NA,NA,NA
"37723","LOC111137311",-1.23341571608897,0.0921345577946614,0.384797899410814
"37724","LOC111137312",NA,NA,NA
"37725","LOC111137313",0,1,NA
"37726","LOC111137314",NA,NA,NA
"37727","LOC111137315",0.252159135127982,0.797442637467247,NA
"37728","LOC111137316",2.84323505300811,0.521191217326804,NA
"37729","LOC111137317",NA,NA,NA
"37730","LOC111137318",NA,NA,NA
"37731","LOC111137319",NA,NA,NA
"37732","LOC111137320",-0.0787039905459605,0.943767114225498,NA
"37733","LOC111137321",NA,NA,NA
"37734","LOC111137322",0.803547962905286,0.492390638926149,NA
"37735","LOC111137323",3.63340508506726,0.116697681400077,NA
"37736","LOC111137324",NA,NA,NA
"37737","LOC111137325",0.752539183534488,0.00172208724015553,0.0244268879404585
"37738","LOC111137326",-0.446052305885199,0.797795587704248,NA
"37739","LOC111137327",NA,NA,NA
"37740","LOC111137328",NA,NA,NA
"37741","LOC111137329",NA,NA,NA
"37742","LOC111137330",0.868836799009631,0.845618218791641,NA
"37743","LOC111137331",1.76010694881002,0.692710069336737,NA
"37744","LOC111137332",5.76652007407345,NA,NA
"37745","LOC111137333",NA,NA,NA
"37746","LOC111137334",NA,NA,NA
"37747","LOC111137335",0,1,NA
"37748","LOC111137336",NA,NA,NA
"37749","LOC111137337",NA,NA,NA
"37750","LOC111137338",NA,NA,NA
"37751","LOC111137339",4.40953097852682,0.317795726243379,NA
"37752","LOC111137340",NA,NA,NA
"37753","LOC111137341",3.99722590205461,NA,NA
"37754","LOC111137342",0,1,NA
"37755","LOC111137343",0.14220137586,0.759607072345587,0.934279186146319
"37756","LOC111137344",NA,NA,NA
"37757","LOC111137345",NA,NA,NA
"37758","LOC111137346",-0.0552142106547084,0.98176101527043,NA
"37759","LOC111137347",0.378483988736606,0.870877856385181,NA
"37760","LOC111137348",NA,NA,NA
"37761","LOC111137349",NA,NA,NA
"37762","LOC111137350",NA,NA,NA
"37763","LOC111137351",NA,NA,NA
"37764","LOC111137352",NA,NA,NA
"37765","LOC111137353",0.918709667763292,0.836894873279952,NA
"37766","LOC111137354",0.605829477583316,0.065747767435953,0.316475869262005
"37767","LOC111137355",NA,NA,NA
"37768","LOC111137356",1.18813624264986,0.282258846689257,NA
"37769","LOC111137357",0.784961820630212,0.387647282756228,NA
"37770","LOC111137358",NA,NA,NA
"37771","LOC111137359",NA,NA,NA
"37772","LOC111137360",0.571984621331876,0.897932566870821,NA
"37773","LOC111137361",NA,NA,NA
"37774","LOC111137362",NA,NA,NA
"37775","LOC111137363",1.59381623026075,0.0881215765665772,NA
"37776","LOC111137364",NA,NA,NA
"37777","LOC111137365",NA,NA,NA
"37778","LOC111137366",0.868688125392256,0.841113066021977,NA
"37779","LOC111137367",NA,NA,NA
"37780","LOC111137368",0.134799016188962,0.949072814291244,NA
"37781","LOC111137369",0.918709667631532,0.836894873303202,NA
"37782","LOC111137370",0,1,NA
"37783","LOC111137371",NA,NA,NA
"37784","LOC111137372",NA,NA,NA
"37785","LOC111137373",1.76010694874673,0.692710069347412,NA
"37786","LOC111137374",0,1,NA
"37787","LOC111137375",NA,NA,NA
"37788","LOC111137376",4.38485698820641,NA,NA
"37789","LOC111137377",NA,NA,NA
"37790","LOC111137378",NA,NA,NA
"37791","LOC111137379",4.67672529885979,0.0146517573068006,NA
"37792","LOC111137380",NA,NA,NA
"37793","LOC111137381",NA,NA,NA
"37794","LOC111137382",NA,NA,NA
"37795","LOC111137383",1.27841054304598,0.238112026618155,NA
"37796","LOC111137384",-0.516400322388684,0.806233137381429,NA
"37797","LOC111137385",0,1,NA
"37798","LOC111137386",NA,NA,NA
"37799","LOC111137387",NA,NA,NA
"37800","LOC111137388",NA,NA,NA
"37801","LOC111137389",NA,NA,NA
"37802","LOC111137390",-1.05807819216594,0.73184845648697,NA
"37803","LOC111137391",-0.285253666285686,0.83631298984146,NA
"37804","LOC111137392",0,1,NA
"37805","LOC111137393",NA,NA,NA
"37806","LOC111137394",0.297122578840438,0.808666836540223,NA
"37807","LOC111137395",NA,NA,NA
"37808","LOC111137396",3.7434597612225,0.000186824758580906,0.00429937292541634
"37809","LOC111137397",0.545984361049229,0.902543246119518,NA
"37810","LOC111137398",-0.406474577572945,0.437346760008673,0.805339877653518
"37811","LOC111137399",2.26752987434137,0.609698159361515,NA
"37812","LOC111137400",NA,NA,NA
"37813","LOC111137401",NA,NA,NA
"37814","LOC111137402",NA,NA,NA
"37815","LOC111137403",NA,NA,NA
"37816","LOC111137404",NA,NA,NA
"37817","LOC111137405",0.138336978784156,0.969057512147707,NA
"37818","LOC111137406",NA,NA,NA
"37819","LOC111137407",0.890372003840102,0.0657058052261049,0.316475869262005
"37820","LOC111137408",NA,NA,NA
"37821","LOC111137409",NA,NA,NA
"37822","LOC111137410",NA,NA,NA
"37823","LOC111137411",NA,NA,NA
"37824","LOC111137412",-0.31353202324794,0.753533887999525,NA
"37825","LOC111137413",NA,NA,NA
"37826","LOC111137414",NA,NA,NA
"37827","LOC111137415",0.372600611010102,0.857463777513419,NA
"37828","LOC111137416",NA,NA,NA
"37829","LOC111137417",NA,NA,NA
"37830","LOC111137418",NA,NA,NA
"37831","LOC111137419",NA,NA,NA
"37832","LOC111137420",-1.49567755587529,0.00164563726564986,0.0235713337756319
"37833","LOC111137421",0.593617352579239,0.728807869051702,NA
"37834","LOC111137422",0.255001834466643,0.951047819104252,NA
"37835","LOC111137423",1.10500701106917,0.803829507576956,NA
"37836","LOC111137424",NA,NA,NA
"37837","LOC111137425",NA,NA,NA
"37838","LOC111137426",NA,NA,NA
"37839","LOC111137427",NA,NA,NA
"37840","LOC111137428",NA,NA,NA
"37841","LOC111137429",NA,NA,NA
"37842","LOC111137430",NA,NA,NA
"37843","LOC111137431",0.209505249920891,0.926240395453979,NA
"37844","LOC111137432",NA,NA,NA
"37845","LOC111137433",2.00473464163518,0.432822361522594,NA
"37846","LOC111137434",2.07832755456766,0.640157098113174,NA
"37847","LOC111137435",0,1,NA
"37848","LOC111137436",0.9019108183835,0.733448696031891,NA
"37849","LOC111137437",0.701334628632459,0.875057955232088,NA
"37850","LOC111137438",0,1,NA
"37851","LOC111137439",-0.159968146773718,0.810225614566678,0.948773765681615
"37852","LOC111137440",NA,NA,NA
"37853","LOC111137441",-0.077447069624404,0.85011541502508,0.961422097083178
"37854","LOC111137442",NA,NA,NA
"37855","LOC111137443",NA,NA,NA
"37856","LOC111137444",NA,NA,NA
"37857","LOC111137445",-0.0977067447117342,0.959642254075819,NA
"37858","LOC111137446",NA,NA,NA
"37859","LOC111137447",-1.26866680432599,0.166756375154919,NA
"37860","LOC111137448",NA,NA,NA
"37861","LOC111137449",2.12682291737907,0.150281633515692,NA
"37862","LOC111137450",NA,NA,NA
"37863","LOC111137451",NA,NA,NA
"37864","LOC111137452",1.84115631765955,0.679178404542753,NA
"37865","LOC111137453",NA,NA,NA
"37866","LOC111137454",0.348549180694419,0.937669156746363,NA
"37867","LOC111137455",0.622564945658765,0.739006958901009,NA
"37868","LOC111137456",-0.484381601234578,0.305317652165045,0.705061785795254
"37869","LOC111137457",NA,NA,NA
"37870","LOC111137458",NA,NA,NA
"37871","LOC111137459",-1.45509278561775,0.495343562587277,NA
"37872","LOC111137460",NA,NA,NA
"37873","LOC111137461",2.00899358228875,0.0625954298810536,NA
"37874","LOC111137462",NA,NA,NA
"37875","LOC111137463",0.894299289847369,0.841162980726879,NA
"37876","LOC111137464",-0.89012929233843,0.459229602683871,NA
"37877","LOC111137465",NA,NA,NA
"37878","LOC111137466",-0.265021882832911,0.892903564873141,NA
"37879","LOC111137467",-0.355792161703616,0.242933530380689,0.635308868531359
"37880","LOC111137468",NA,NA,NA
"37881","LOC111137469",NA,NA,NA
"37882","LOC111137470",NA,NA,NA
"37883","LOC111137471",0,1,NA
"37884","LOC111137472",-2.47377464048899,0.326817350843212,NA
"37885","LOC111137473",NA,NA,NA
"37886","LOC111137474",0.396300028630065,0.929157219188288,NA
"37887","LOC111137475",0.608327292983682,0.869546316284856,NA
"37888","LOC111137476",NA,NA,NA
"37889","LOC111137477",-0.46371660906537,0.739437275111773,NA
"37890","LOC111137478",NA,NA,NA
"37891","LOC111137479",NA,NA,NA
"37892","LOC111137480",NA,NA,NA
"37893","LOC111137481",1.40641823340339,0.12502072364042,NA
"37894","LOC111137482",-1.11963293474611,0.147663174049599,0.499774279428103
"37895","LOC111137483",0,1,NA
"37896","LOC111137484",0.862379890540874,0.836059549231888,NA
"37897","LOC111137485",-0.456842370810533,0.0597096242435004,0.301853844359011
"37898","LOC111137486",-0.0677567948190127,0.932309081140943,NA
"37899","LOC111137487",NA,NA,NA
"37900","LOC111137488",NA,NA,NA
"37901","LOC111137489",NA,NA,NA
"37902","LOC111137490",NA,NA,NA
"37903","LOC111137491",NA,NA,NA
"37904","LOC111137492",NA,NA,NA
"37905","LOC111137493",NA,NA,NA
"37906","LOC111137494",NA,NA,NA
"37907","LOC111137495",0.862414168546637,0.846742790970638,NA
"37908","LOC111137496",NA,NA,NA
"37909","LOC111137497",NA,NA,NA
"37910","LOC111137498",NA,NA,NA
"37911","LOC111137499",NA,NA,NA
"37912","LOC111137500",NA,NA,NA
"37913","LOC111137501",NA,NA,NA
"37914","LOC111137502",0.348549180694419,0.937669156746363,NA
"37915","LOC111137503",NA,NA,NA
"37916","LOC111137504",0.477393728368561,0.162266094409177,0.52595199939026
