"","x"
"LOC111134008",3.5804586976819
"LOC111105525",3.5737369212478
"LOC111106974",3.57347550434776
"LOC111125252",3.56956423682174
"LOC111130098",3.56871035866196
"LOC111129611",3.56699538586016
"LOC111102674",3.55617278887106
"LOC111101012",3.5397095794907
"LOC111104493",3.53627207958982
"LOC111137535",3.53057143678891
"LOC111123397",3.5182384512676
"LOC111112791",3.51236246120132
"LOC111110273",3.51125000415769
"LOC111120659",3.5112478042673
"LOC111104311",3.51124779910882
"LOC111100379",3.50806361686788
"LOC111123845",3.50487244141351
"LOC111109028",3.50075454621571
"LOC111106916",3.50075454619448
"LOC111100724",3.49295394576173
"LOC111112733",3.48976561573783
"LOC111114733",3.47920093666422
"LOC111135145",3.47731152068043
"LOC111125937",3.47183591867575
"LOC111135922",3.46663041982646
"LOC111100536",3.45492076873975
"LOC111127599",3.45363350740927
"LOC111118038",3.45048590320835
"LOC111134228",3.44953714122045
"LOC111103411",3.44633934532867
"LOC111117657",3.44274148897036
"LOC111132911",3.43888881150967
"LOC111099424",3.43844453272146
"LOC111135097",3.42447438120759
"LOC111104786",3.42259822556244
"LOC111132975",3.41729441757307
"LOC111119493",3.41391659159939
"LOC111119661",3.41369824806231
"LOC111137034",3.40887435385687
"LOC111101410",3.40838780103614
"LOC111115461",3.40596124222842
"LOC111119559",3.40368940996534
"LOC111132335",3.4018405946985
"LOC111135495",3.40067736305951
"LOC111104287",3.39353297100177
"LOC111108251",3.39195519100375
"LOC111109640",3.39195519100375
"LOC111127485",3.38146680837948
"LOC111134522",3.3661195511381
"LOC111128966",3.36565187024136
"LOC111136728",3.36564117625731
"LOC111124888",3.36367062696759
"LOC111134726",3.35475327315567
"LOC111137687",3.34937027856702
"LOC111109569",3.34259211017483
"LOC111135260",3.34259211015103
"LOC111111867",3.34259210917058
"LOC111134214",3.34259210917058
"LOC111102596",3.33925091717967
"LOC111117258",3.33128567827732
"LOC111104047",3.32953597310728
"LOC111133342",3.32915888275557
"LOC111135125",3.30620211470221
"LOC111109804",3.30491114013833
"LOC111137997",3.29939487057846
"LOC111107174",3.29256643336354
"LOC111111673",3.29232224457279
"LOC111107923",3.29151744940625
"LOC111133382",3.28910029222421
