"gene_name" "GO_id"
"247" "LOC111120502" "GO:0005524; GO:0016301; GO:0016310; GO:0044206; GO:0044211"
"248" "LOC111120521" "GO:0001732; GO:0002191; GO:0003743; GO:0005852; GO:0016282; GO:0033290; GO:0098808"
"249" "LOC111119736" "GO:0004674; GO:0005524; GO:0005737; GO:0005856; GO:0005886; GO:0007266; GO:0016310; GO:0031267; GO:0046872"
"250" "LOC111120722" "GO:0001732; GO:0002191; GO:0003743; GO:0005852; GO:0016282; GO:0033290; GO:0098808"
"251" "LOC111120810" "GO:0003677; GO:0003887; GO:0005634; GO:0005737; GO:0006281; GO:0016829; GO:0046872"
"252" "LOC111120831" "GO:0005524; GO:0005783; GO:0016887; GO:0045048; GO:0046872"
"253" "LOC111120502" "GO:0005524; GO:0016301; GO:0016310; GO:0044206; GO:0044211"
"254" "LOC111121100" "GO:0004378; GO:0016020; GO:0102704"
"255" "LOC111120810" "GO:0003677; GO:0003887; GO:0005634; GO:0005737; GO:0006281; GO:0016829; GO:0046872"
"256" "LOC111120812" "GO:0000703; GO:0003677; GO:0003906; GO:0004519; GO:0005634; GO:0005739; GO:0006285; GO:0016829; GO:0046872; GO:0051539"
"257" "LOC111121408" "GO:0000139; GO:0015012; GO:0030158; GO:0030206; GO:0046872"
"258" "LOC111121226" "GO:0006744; GO:0016709; GO:0031314; GO:0046872"
