gene_name	metadata
LOC111120558	GO:0046872
LOC111121167	GO:0046872
LOC111121255	GO:0046872
LOC111121279	GO:0046872
LOC111121564	GO:0046872
LOC111122274	GO:0046872
LOC111122763	GO:0046872
LOC111122826	GO:0046872
LOC111122866	GO:0046872
LOC111123078	GO:0046872
LOC111123096	GO:0046872
LOC111123240	GO:0046872
LOC111123679	GO:0046872
LOC111123740	GO:0046872
LOC111123834	GO:0046872
LOC111123868	GO:0046872
LOC111123878	GO:0046872
LOC111124096	GO:0046872
LOC111124136	GO:0046872
LOC111124137	GO:0046872
LOC111124201	GO:0046872
LOC111124210	GO:0046872
LOC111124219	GO:0046872
LOC111124263	GO:0046872
LOC111124306	GO:0046872
LOC111124333	GO:0046872
LOC111124474	GO:0046872
LOC111124526	GO:0046872
LOC111124582	GO:0046872
LOC111124586	GO:0046872
LOC111124689	GO:0046872
LOC111124907	GO:0046872
LOC111125021	GO:0046872
LOC111125699	GO:0046872
LOC111126387	GO:0046872
LOC111126427	GO:0046872
LOC111126512	GO:0046872
LOC111126636	GO:0046872
LOC111126663	GO:0046872
LOC111126731	GO:0046872
LOC111126965	GO:0046872
LOC111126998	GO:0046872
LOC111127250	GO:0046872
LOC111127251	GO:0046872
LOC111127979	GO:0046872
LOC111128595	GO:0046872
LOC111128612	GO:0046872
LOC111128676	GO:0046872
LOC111128848	GO:0046872
LOC111128916	GO:0046872
LOC111129059	GO:0046872
LOC111129298	GO:0046872
LOC111129469	GO:0046872
LOC111129601	GO:0046872
LOC111129602	GO:0046872
LOC111129696	GO:0046872
LOC111129879	GO:0046872
LOC111129968	GO:0046872
LOC111130559	GO:0046872
LOC111130800	GO:0046872
LOC111131237	GO:0046872
LOC111132301	GO:0046872
LOC111132489	GO:0046872
LOC111132585	GO:0046872
LOC111132651	GO:0046872
LOC111132684	GO:0046872
LOC111132715	GO:0046872
LOC111132745	GO:0046872
LOC111132925	GO:0046872
LOC111133150	GO:0046872
LOC111133198	GO:0046872
LOC111133234	GO:0046872
LOC111133238	GO:0046872
LOC111133393	GO:0046872
LOC111133436	GO:0046872
LOC111133607	GO:0046872
LOC111133609	GO:0046872
LOC111133758	GO:0046872
LOC111133959	GO:0046872
LOC111133985	GO:0046872
LOC111134282	GO:0046872
LOC111134771	GO:0046872
LOC111134841	GO:0046872
LOC111134930	GO:0046872
LOC111135028	GO:0046872
LOC111135221	GO:0046872
LOC111135340	GO:0046872
LOC111135628	GO:0046872
LOC111135629	GO:0046872
LOC111135808	GO:0046872
LOC111135963	GO:0046872
LOC111135968	GO:0046872
LOC111136204	GO:0046872
LOC111136255	GO:0046872
LOC111136283	GO:0046872
LOC111136285	GO:0046872
LOC111136287	GO:0046872
LOC111136703	GO:0046872
LOC111136838	GO:0046872
LOC111137118	GO:0046872
LOC111137155	GO:0046872
LOC111137225	GO:0046872
LOC111137653	GO:0046872
LOC111137665	GO:0046872
LOC111137785	GO:0046872
LOC111137816	GO:0046872
LOC111137858	GO:0046872
LOC111137869	GO:0046872
LOC111137948	GO:0046872
LOC111137953	GO:0046872
LOC111137982	GO:0046872
LOC111138178	GO:0046872
LOC111138191	GO:0046872
LOC111138274	GO:0046872
LOC111138420	GO:0046872
LOC111138481	GO:0046872
LOC111138511	GO:0046872
MT	GO:0046872
MT-IA	GO:0046872
MT-IB	GO:0046872
MT-IB2	GO:0046872
MT-IB2alpha	GO:0046872
MT-IIA	GO:0046872
MT-IIB	GO:0046872
MT-IIC	GO:0046872
MT-IID	GO:0046872
MT-IIE	GO:0046872
MT-IIF	GO:0046872
MT-IIG	GO:0046872
MT-IIH	GO:0046872
MT-IIIA	GO:0046872
MT-IIIB	GO:0046872
MT-IVA	GO:0046872
MT-IVB	GO:0046872
MT-IVC	GO:0046872
MTA	GO:0046872
MTB	GO:0046872
LOC111102071	GO:0046856, GO:0052745
LOC111128712	GO:0046854, GO:0046872
LOC111113173	GO:0046488, GO:0052742,GO:0046488, GO:0052742,GO:0046488, GO:0052742,GO:0046488, GO:0052742,GO:0046488, GO:0052742,GO:0046488, GO:0052742,GO:0046488, GO:0052742,GO:0046488, GO:0052742,GO:0046488, GO:0052742,GO:0046488, GO:0052742,GO:0046488, GO:0052742,GO:0046488, GO:0052742,GO:0046488, GO:0052742,GO:0046488, GO:0052742
LOC111112578	GO:0046488, GO:0052742
LOC111114942	GO:0046488, GO:0052742
LOC111124952	GO:0046488, GO:0052742
LOC111124953	GO:0046488, GO:0052742
LOC111106194	GO:0046332, GO:0110165
LOC111129653	GO:0046332, GO:0110165
LOC111131077	GO:0046332, GO:0110165
LOC111133992	GO:0046332, GO:0110165
LOC111100047	GO:0046332
LOC111121850	GO:0045944
LOC111135600	GO:0045892
LOC111108271	GO:0045814,GO:0045814
LOC111118511	GO:0045739, GO:0070531, GO:0070552
LOC111118616	GO:0045739, GO:0070531, GO:0070552
LOC111130742	GO:0045329, GO:0046872, GO:0051213
LOC111108193	GO:0045261, GO:0046933
LOC111117675	GO:0045261, GO:0046933
LOC111099106	GO:0045145,GO:0045145,GO:0045145,GO:0045145
LOC111101532	GO:0045127
LOC111117985	GO:0045048
LOC111118342	GO:0044599,GO:0044599
LOC111118550	GO:0044599,GO:0044599
LOC111117364	GO:0043565,GO:0043565
LOC111121842	GO:0043565,GO:0043565
LOC111125607	GO:0043565,GO:0043565
LOC111127051	GO:0043565,GO:0043565
LOC111099653	GO:0043565
LOC111100934	GO:0043565
LOC111102199	GO:0043565
LOC111102205	GO:0043565
LOC111103697	GO:0043565
LOC111106786	GO:0043565
LOC111107420	GO:0043565
LOC111109088	GO:0043565
LOC111109185	GO:0043565
LOC111110426	GO:0043565
LOC111112978	GO:0043565
LOC111112997	GO:0043565
LOC111113614	GO:0043565
LOC111113631	GO:0043565
LOC111117543	GO:0043565
LOC111120326	GO:0043565
LOC111123107	GO:0043565
LOC111124443	GO:0043565
LOC111125707	GO:0043565
LOC111131223	GO:0043565
LOC111136362	GO:0043565
LOC111138455	GO:0043565
LOC111103903	GO:0043531
LOC111127831	GO:0043231
LOC111127922	GO:0043231
LOC111099808	GO:0043229,GO:0043229
