"","baseMean","log2FoldChange","lfcSE","svalue"
"LOC111105035",11.3846846670387,-3.52870419193824e-06,0.00144268845223417,0.93521706714813
"LOC111131375",4.49443605418506,-1.14939909540321e-06,0.00144269330577407,0.935595914708667
"LOC111134598",0.200769438488058,1.01584820680966e-07,0.00144269485748306,0.935970357065012
"LOC111135077",0.215474835366652,1.53467212800255e-07,0.00144269480254305,0.936340470607989
"LOC111125571",20.9017473778255,1.72053628096924e-08,0.00144268970141662,0.936706329972311
"LOC111125589",14.9318530266526,-1.15702813147551e-06,0.00144268640185742,0.937068008086755
"LOC111099659",3.87494373155259,3.54872514654897e-07,0.00144269226048726,0.937425576222625
"LOC111128222",51.5723333983751,1.31484544111151e-06,0.0014426915301625,0.937779104040577
"LOC111128188",7.77220412585348,-2.49038233178275e-06,0.00144269309789424,0.938128659635854
"LOC111128242",1.80261507845559,-1.74075049572747e-06,0.00144269434173744,0.938474309582023
"LOC111128251",3.40276129671651,-2.9879833102163e-06,0.00144269431453646,0.938816118973234
"LOC111128259",1.10836205283245,-5.22959827863355e-07,0.0014426939899218,0.939154151465094
"LOC111128319",27.180371237494,2.04557112523586e-07,0.00144267839704341,0.939488469314187
"LOC111128314",14.5106260294866,-4.00090938058393e-07,0.0014426902403066,0.939819133416295
"LOC111128306",2.73946971750466,1.73925657876196e-07,0.0014426945096612,0.940146203343381
"LOC111100637",8.74676756398282,6.98553762176123e-07,0.00144269018403131,0.940469737379362
"LOC111111564",8.64059856369741,-7.34082753113061e-07,0.00144269058817343,0.940789792554742
"LOC111132626",0.609967482587373,-7.82904630355999e-07,0.00144269466115228,0.941106424680118
"LOC111118716",0.384245504755808,5.4434994323511e-08,0.00144269465321115,0.941419688378628
"LOC111121419",0.0865479731290714,7.71947293021556e-08,0.00144269501225278,0.941729637117365
"LOC111137561",5.7252936144325,5.40304845090043e-07,0.00144269374566217,0.9420363232378
"LOC111104106",0.793823232481169,3.1571026585708e-07,0.00144269498550169,0.942339797985246
"LOC111125887",0.763593111432241,-2.49126756442449e-09,0.0014426948394215,0.942640111537406
"LOC111125896",1.58809898310396,7.77372214372429e-07,0.00144269406043161,0.942937313032031
"LOC111127890",0.316077535518297,-1.60043952028597e-07,0.00144269481508179,0.943231450593722
"LOC111119531",7.69718747646111,9.06052832982458e-07,0.00144269305873173,0.943522571359908
"LOC111125338",0.121228935391509,-3.50760262282366e-08,0.00144269503071881,0.943810721506031
"LOC111127317",56.645995088135,2.01322588864661e-06,0.00144267762203767,0.94409594626996
