"","WBB-WBV-W69","WBG-BBB-W56","WBG-WBG-W44","WBO-BBR-W03","WBO-WBV-W64","WBR-BBY-W25","WBV-WBO-W23","WBV-WBR-W12","WBY-BBV-W65","WBY-BBY-W30","WPB-BPG-G45","WPO-BPO-G16","WPO-BPY-G28","WPR-BPY-G25","WPV-BPR-G11"
"LOC111108857",0,4,0,0,0,0,0,0,29,0,1,2,0,0,0
"LOC111109589",0,0,0,0,0,0,0,3,2,0,1,0,0,0,0
"LOC111118614",0,1,0,0,0,1,0,0,0,1,0,0,4,0,0
"LOC111103862",0,0,2,0,0,1,0,0,1,0,0,0,3,1,0
"LOC111114648",0,0,0,0,1,5,0,0,0,0,0,0,0,0,0
"LOC111111539",0,1,0,0,0,0,0,0,5,1,0,0,47,0,0
"LOC111113698",0,0,0,0,1,0,0,0,1,3,2,0,3,1,0
"LOC111136378",1,0,1,0,1,1,0,0,2,1,0,1,2,1,0
"LOC111136446",0,2,3,0,0,0,0,0,2,4,0,0,8,0,0
"LOC111112207",0,0,0,0,4,1,1,0,1,1,1,0,0,2,0
"LOC111121807",2,0,0,0,5,0,1,1,2,0,0,1,0,2,0
"LOC111101228",116,133,14,4,66,37,59,14,51,62,50,38,2,76,110
"LOC111133999",0,0,0,0,0,0,10,0,0,0,0,0,1,0,0
"LOC111134951",1,8,1,0,4,0,2,2,0,0,0,0,0,2,0
"LOC111126311",0,3,0,0,0,0,0,0,0,0,1,0,0,0,0
"LOC111133180",0,0,0,0,0,0,0,0,0,0,0,17,0,0,0
"LOC111124790",0,4,0,0,4,0,0,0,0,0,1,0,0,1,0
"LOC111106222",1,4,4,0,3,0,1,0,4,2,0,0,0,1,0
"LOC111111751",0,1,0,0,2,0,0,0,0,4,1,1,2,1,0
"LOC111106231",0,0,0,0,0,0,0,0,4,7,4,0,0,0,0
"LOC111111586",0,0,0,0,17,1,0,0,0,1,2,0,0,1,0
"LOC111101553",16,13,5,0,0,4,0,0,5,15,2,2,0,0,0
"LOC111103659",2,1,0,0,0,0,2,0,1,0,2,0,0,0,0
"LOC111115253",0,3,0,0,8,0,0,0,0,0,1,0,0,0,0
"LOC111106261",2,1,0,0,2,1,0,0,0,0,0,0,0,0,0
"LOC111122804",3,0,0,0,7,0,0,0,1,1,7,4,0,0,0
"LOC111111162",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"LOC111120762",4,367,10,1,0,4,0,0,14,3,0,0,1,9,1
"LOC111123862",0,11,0,0,0,0,0,1,0,0,0,0,0,0,0
"LOC111136067",4,0,0,2,8,0,0,0,1,0,3,3,0,1,0
"LOC111115907",1,0,0,0,1,1,0,0,0,1,1,0,7,0,0
"LOC111106340",9,3,0,0,2,1,0,0,7,1,0,0,1,1,0
"LOC111126561",0,0,0,0,7,0,0,3,2,1,0,0,0,0,0
"LOC111126678",2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"LOC111126712",2,5,0,0,7,1,0,0,1,1,2,1,1,0,0
"LOC111126590",0,2,0,0,1,0,1,0,1,0,0,0,0,1,0
"LOC111126584",3,2,2,0,5,0,2,1,0,1,0,1,0,3,0
"LOC111106367",2,0,0,0,1,1,1,0,3,0,1,1,0,0,0
"LOC111106379",1,0,0,0,1,13,0,0,0,0,2,1,0,0,0
"LOC111125044",4,0,2,0,0,0,0,0,0,0,1,2,0,1,0
"LOC111125056",13,0,0,0,11,0,3,0,5,3,2,3,0,0,0
"LOC111124986",0,4,1,0,1,1,0,0,0,1,1,0,0,0,0
"LOC111103268",0,0,0,0,0,0,14,2,0,0,0,0,0,0,0
"LOC111122449",0,0,0,0,3,0,2,0,0,0,0,0,0,0,0
