"gene_id","Gene.Ontology.IDs"
"LOC111130482","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111130512","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111130622","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111130645","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111130869","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111130950","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111131048","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111131374","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111131693","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111132070","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111132152","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111132232","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111133654","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111134654","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111134690","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111135198","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111135298","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111135354","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111135545","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111135584","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111135650","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111136042","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111136054","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111136276","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111136471","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111136551","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111136704","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111137518","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111138268","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111119260","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111120281","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111122649","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111129081","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111132155","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111105313","GO:0007399;GO:0048731"
"LOC111109562","GO:0007399;GO:0048731"
"LOC111120594","GO:0007399;GO:0048731"
"LOC111120915","GO:0007399;GO:0048731"
"LOC111120937","GO:0007399;GO:0048731"
"LOC111122258","GO:0007399;GO:0048731"
"LOC111101168","GO:0003341;GO:0007018"
"LOC111103375","GO:0003341;GO:0007018"
"LOC111105904","GO:0003341;GO:0007018"
"LOC111107328","GO:0003341;GO:0007018"
"LOC111110718","GO:0003341;GO:0007018"
"LOC111112113","GO:0003341;GO:0007018"
"LOC111112120","GO:0003341;GO:0007018"
"LOC111112121","GO:0003341;GO:0007018"
"LOC111113970","GO:0003341;GO:0007018"
