"GO.IDs","GOslim","Term","gene_id"
"GO:0000086","GO:0000278","mitotic cell cycle","LOC111132548"
"GO:0000086","GO:0000278","mitotic cell cycle","LOC111099359"
"GO:0000103","GO:0006790","sulfur compound metabolic process","LOC111119949"
"GO:0000103","GO:0006790","sulfur compound metabolic process","LOC111119950"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111113319"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111133851"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111113039"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111135830"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111104148"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111106318"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111129653"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111106194"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111135365"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111115441"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111108187"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111125289"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111121832"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111130305"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111117946"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111115973"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111127937"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111133335"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111112990"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111135570"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111121413"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111107306"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111132990"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111136084"
